==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T21:48:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:49:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:50:50+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T21:51:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:52:50+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T21:53:50+00:00] GPU free=3791 MiB (need >= 35000)
[2026-08-10T21:54:50+00:00] GPU free=3393 MiB (need >= 35000)
[2026-08-10T21:55:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:56:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:57:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:58:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T21:59:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:00:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:01:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:02:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:03:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:04:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:05:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:06:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:07:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:08:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:09:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:10:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:11:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:12:50+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:13:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:14:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:15:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:16:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:17:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:18:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:19:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:20:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:21:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:22:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:23:51+00:00] GPU free=6001 MiB (need >= 35000)
[2026-08-10T22:24:51+00:00] GPU free=6001 MiB (need >= 35000)
